Source (A)	Source (B)	Source (C)	posemo	negemo
638060586258038020	neutral	05 Beat it - Michael Jackson - Thriller (25th Anniversary Edition) [HD] http://t.co/A4K2B86PBv	6.67	0.00
638061181823922050	positive	Jay Z joins Instagram with nostalgic tribute to Michael Jackson: Jay Z apparently joined Instagram on Saturday and.. http://t.co/Qj9I4eCvXy	0.00	0.00
638083821364243970	neutral	Michael Jackson: Bad 25th Anniversary Edition (Picture Vinyl): This unique picture disc vinyl includes the original 1 http://t.co/fKXhToAAuW	4.35	8.70
638091450132077950	positive	Not Available	0.00	0.00
638125563790557060	positive	18th anniv of Princess Diana's death. I still want to believe she is living on a private island away from the public. With Michael Jackson.	0.00	0.00
638130776727534980	positive	@oridaganjazz The 1st time I heard Michael Jackson sing was in Honolulu, Hawaii @ a restaurant on radio. It was A.B.C. I was 13. I loved it!	3.57	0.00
638134980862828030	neutral	'Michael Jackson' appeared on Saturday 29 at the 9th place in the Top20 of Miami's Trends: http://t.co/dXN2FWgUhb #trndnl	0.00	0.00
638156605448695040	positive	Are you old enough to remember Michael Jackson attending the Grammys with Brooke Shields and Webster sat on his lap during the show?	0.00	0.00
638162155250953980	negative	@etbowser do u enjoy his 2nd rate Michael Jackson bit? Honest ques. Like the can't feel face song but god it's so obvious they want MJ 2.0	7.41	0.00
638163324752891010	neutral	The Weeknd is the closest thing we may get to Michael Jackson for a long time...especially since he damn near mimics everything	0.00	4.35
638166789302689020	neutral	All of you people who're saying The Weekend is the next Michael Jackson, Go to sleep, you got school tomorrow.	0.00	0.00
638180579662561020	negative	Here I am saying Kanye isn't a bad guy when these people just gave you a fucking award that Michael Jackson got c'mon bro	4.00	8.00
638180878594785020	positive	@MariahCarey may he R.I.P. Happy Birthday Michael Jackson . :)	18.18	0.00
638181456225927040	negative	Not Available	0.00	0.00
638185679948659970	neutral	I just may be actually done with this award show.. Unless they get Michael Jackson on hologram.	5.88	0.00
638201443044867970	negative	@NICKIMINAJ today you try to destroy a Sir Mix-a-Lot hit - tomorrow Michael Jackson? WRITE YOUR OWN DAMN HOOKS!	0.00	10.00
638201499118497020	positive	VIRGO OF THE DAY- We wished our fellow Virgo Captain Michael Jackson a Happy Birthday on the 29th now it's time... http://t.co/fF7I7D7ItV	3.85	0.00
638209380983414020	neutral	@juliaanapp you may say oh it is August 29 Liam from One Direction's birthday but no it's also Michael Jackson birthday	0.00	0.00
